Company Name,Updated,Company Number,Address,City,Postal,Development Region,Regional District,CityGroup,Areacode,Phone Prefix,Phone,Full Phone,Contacts,Main Contact,FirstName,LastName,Title,Publish Fax,Fax Areacode,Fax Prefix,Fax,Full Fax,Toll free,email,Web site,Sales,Employee Range,Employees,NAICS (N.American Ind. Classification Std.),NAICS Description,SIC (Std. Industrial Classification),SIC Description,Export Experience,Export Start Date,Export to,Potential to Export to,Products,Sectors,Company's Self Description,Contact 1,LastName 1,FirstName 1,Position 1,Description 1,Contact 2,Last Name 2,First Name 2,Position 2,Description 2,Contact 3,Last Name 3,First Name 3,Position 3,Description 3,Comments 
A & C Cylinder Head Rebuilders Ltd.,9/3/2003,1200,1525 97th Avenue,Dawson Creek,V1G 1N6,Northeast,Peace River,Dawson Creek,250,,782-5188,250-782-5188,Mr. Joe Hauber  Main Contact              ,Mr.,Joe,Hauber,President,No,,,,,,,,,1 to 5,,336310,"""Motor Vehicle Gasoline Engine and Engine Parts Manufacturing""",3081,"""Machine shop industry""",None,,,,"engines, rebuilt; machinists or machine work",transportation equipment and products,COMPLETE REBUILDING AND REPAIRING OF AUTOMOTIVE AND INDUSTRIAL CYLINDER HEADS.,Mr.,Hauber,Joe,President,Main Contact,,,,,,,,,,,
A & D Glass Co. Ltd.,2/8/2002,1525,818 Johnson Street,Victoria,V8W 1N3,Vancouver Island/Coast,Capital,Victoria,250,,383-7141,250-383-7141,Dr. Brad L. Karadimas  Main Contact   Mr. Pete Dunlop  Second Contact       ,Dr.,Brad L.,Karadimas,President,Yes,250,,383-7112,250-383-7112,,,,0,1 to 5,4,332321,"""Metal Window and Door Manufacturing""",3031,"""Metal door and window industry""",Unknown,,,,"doors, screen (see also doors, aluminum); screens, window",artisan,,Dr.,Karadimas,Brad L.,President,Main Contact,Mr.,Dunlop,Pete, ,Second Contact,,,,,,
A & P Dental Laboratory Ltd.,9/22/2003,645724,401 - 1120 Yates Street,Victoria,V8V 3M9,Vancouver Island/Coast,Capital,Victoria,250,,383-7118,250-383-7118,  Nin Dougall  Main Contact              , ,Nin,Dougall, ,Yes,250,,383-2385,250-383-2385,,,,0,6 to 14,12,339110,"""Medical Equipment and Supplies Manufacturing""",3999,"""Other manufactured products industries n.e.c.""",Unknown,,,,"dentures; braces, orthopedic; bridges and crowns; implants & ceramic restorations",personal and household goods,MANUFACTURER OF DENTAL PROSTHESES., ,Dougall,Nin, ,Main Contact,,,,,,,,,,,
A B Allprint Business Service Inc.,8/25/2003,646899,"PO Box 2277, 7222 - 3rd Street",Grand Forks,V0H 1H0,Kootenay,Kootenay Boundary,Grand Forks,250,,442-3411,250-442-3411,Mr. Mike Malinich  Main Contact   Ms. Lisa Bennett  Second Contact       ,Mr.,Mike,Malinich,President,Yes,250,,442-5131,250-442-5131,,allprint@earthling.net,,250000,1 to 5,3,323119,"""Other Printing""",2819,"""Other commercial printing industries""",InterMediate,1/1/1991,United States,,"business cards, color; forms, printed; letterheads, printed; printed matter; advertising matter; envelopes, printed; stationery and paper office supplies; letters, vinyl die cut; copying",personal and household goods,"A FULL SERVICE PRINTER OFFERING STANDARD AND COMPUTER FORMS AND PRINTING, OFFICE AND COMPUTER SUPPLIES.",Mr.,Malinich,Mike,President,Main Contact,Ms.,Bennett,Lisa,Manager,Second Contact,,,,,,
A B C Photocolour Products Ltd.,8/25/2003,646898,1618 W 4th Avenue,Vancouver,V6J 1L9,Mainland/Southwest,Greater Vancouver,Vancouver,604,,736-7017,604-736-7017,  Launie Fairbairn  Main Contact              , ,Launie,Fairbairn, ,No,,,,,1-888-276-8888,launie@abcphoto.com,www.abcphoto.com,0,25 to 49,40,323119,"""Other Printing""",2819,"""Other commercial printing industries""",Experienced,12/22/1967,Canada; United States; Europe,World Wide,processed photographic film; electronic photographic imaging; photographs and other pictorial matter; photographic goods,personal and household goods,"ARCHIVAL LIGHTJET, ARCHIVAL INKJET DIGITAL PRINTING, MURALS, DISPLAYS, EXHIBITION, GICLEE, DURAFLEX, BACKLITDURATRANS, B&W, COLOUR  PHOTOGRAPHIC, KODAK PRO PHOTO CD, FILM OUTPUT, LASER PRINTS, CUSTOM FINISHING.", ,Fairbairn,Launie, ,Main Contact,,,,,,,,,,,
A B C Pre-Kast Ltd.,4/3/2002,646900,1941 Island Highway,Nanaimo,V9X 1R4,Vancouver Island/Coast,Nanaimo,Nanaimo,250,,753-1223,250-753-1223,  Chris Penney  CEO     Anne Penney  Main Contact       , ,Anne,Penney, ,Yes,250,,754-2122,250-754-2122,,ABC@Island.net,,0,6 to 14,0,327330,"""Concrete Pipe, Brick and Block Manufacturing""",3549,"""Concrete products industries""",Unknown,,,,septic tanks; precast concrete roadside barriers,minerals,PRE-KAST CONCRETE PRODUCER., ,Penney,Chris, ,CEO, ,Penney,Anne, ,Main Contact
A B Seating Mfrs. Ltd.,12/11/2002,647685,402 - 204 Cayer Street,Coquitlam,V3K 5B1,Mainland/Southwest,Greater Vancouver,Coquitlam,604,,521-4545,604-521-4545,Mr. Leroy Walter  Main Contact              ,Mr.,Leroy,Walter,Owner/President,Yes,604,,521-4261,604-521-4261,,abseat@uniserve.com,www.abseating.com,0,6 to 14,12,337127,"""Institutional Furniture Manufacturing""",2692,"""Hotel, restaurant and institutional furniture and fixtures industry""",Beginner,6/25/1985,United States,,"furniture, built-in; residential kitchen nooks and tables; hotel, motel, restaurant and store furniture",wood and building products,"MANUFACTURER & DISTRIBUTOR OF BOOTHS AND BANQUETTE SEATING,KITCHEN NOOKS, TABLES, BAR STOOLS AND CHAIRS.  MEMBERS OF THE BC RESTAURANT ASSOCIATION, PUB ASSOCIATION, & HOTEL ASSOCIATION.",Mr.,Walter,Leroy,Owner/President,Main Contact,,,,,
A C Radiator Manufacturing Co. Ltd.,11/1/2002,1300,51 Leeder Street,Coquitlam,V3K 3V5,Mainland/Southwest,Greater Vancouver,Coquitlam,604,,540-2468,604-540-2468,Mr. Jim Brockes  Main Contact   Mr. Harry Clements  Second Contact       ,Mr.,Jim,Brockes,Manager,Yes,604,,540-2498,604-540-2498,1-800-663-3732,jim@acradiator.com,www.acradiator.com,3000000,15 to 24,18,336390,"""Other Motor Vehicle Parts Manufacturing""",3259,"""Other motor vehicle accessories, parts and assembles industries""",Beginner,1/1/1992,Canada; United States,,"parts for motor vehicle engines; welding; steel fabricators; radiators, auto, industrial, etc.; cores",transportation equipment and products; machinery and steel fabrication,"COMPLETE RADIATORS/INDUSTRIAL RADIATORS/GENERATOR RADIATORS, CHARGE-AIR COOLERS.",Mr.,Brockes,Jim,Manager,Main Contact,Mr.,Clements,Harry,President,Second Contact
A G O Environmental Electronics Ltd.,1/17/2003,647939,10 - 626 Esquimalt Road,Victoria,V9A 3L4,Vancouver Island/Coast,Capital,Victoria,250,,386-4015,250-386-4015,Mr. Jim Harrington  Main Contact     Susan Harrington  Second Contact       ,Mr.,Jim,Harrington,President,Yes,250,,386-4016,250-386-4016,,info@agoenvironmental.com,www.agoenvironmental.com,,6 to 14,6,333920,"""Material Handling Equipment Manufacturing""",3192,"""Construction and mining machinery and materials handling equipm. Industry""",InterMediate,1/1/1994,United States; England; Australia; Japan; Germany; Russia; Greece; France; Denmark; Mexico,,power instrumentation winches; engineering and environmental instruments and apparatus; oceanographic instrumentation (buoys/battery packs/subsea video systems); subsea electro/mechanical connectors,machinery and steel fabrication,"A.G.O. SUPPLIES OCEANOGRAPHIC AND GEOPHYSICS EQUIPMENT FOR THE MINING, MILITARY AND SCIENTIFIC INDUSTRIES.",Mr.,Harrington,Jim,President,Main Contact, ,Harrington,Susan,Vice President,Second Contact
A IF Automotive Industrial Friction,3/21/2002,2000,1239 Kingsway,Vancouver,V5V 3E2,Mainland/Southwest,Greater Vancouver,Vancouver,604,,879-3592,604-879-3592,  Bob Pope  Main Contact     Jim R. Mutter  CEO       , ,Bob,Pope,Operations Manager,Yes,604,,879-4655,604-879-4655,1-800-661-0163,aifvbw@telus.net,,,1 to 5,2,336340,"""Motor Vehicle Brake System Manufacturing""",3255,"""Motor vehicle wheel and brake industry""",Beginner,1/1/1977,United States,World Wide,"wheels and brakes, motor vehicle; winches, logging; bands; logging equipment & supplies; brake assemblies & parts",transportation equipment and products,"SPECIALIZING IN FRICTON MATERIAL FOR AUTOMOTIVE AND INDUSTRIAL BRAKE APPLICATIONS, SUCH AS BRAKES FOR HYDRO ELECTRIC GENERATORS. ALL SIZE BRAKE BANDS FOR THE LOGGING INDUSTRY.", ,Pope,Bob,Operations Manager,Main Contact, ,Mutter,Jim R.,President,CEO
A J A Printing Ltd.,3/21/2002,646906,103 - 2764 Barnet Hwy,Coquitlam,V3B 1B9,Mainland/Southwest,Greater Vancouver,Coquitlam,604,,941-9933,604-941-9933,  Mehran Arabi  CEO     Jena Arabi  Main Contact       , ,Jena,Arabi, ,Yes,604,,941-8854,604-941-8854,,,,0,1 to 5,0,323119,"""Other Printing""",2819,"""Other commercial printing industries""",Beginner,9/8/1987,Canada,,"business cards, color; forms, printed; letterheads, printed; printed matter; advertising matter; envelopes, printed",personal and household goods,, ,Arabi,Mehran, ,CEO, ,Arabi,Jena, ,Main Contact
A J Forest Products Ltd.,2/17/2003,646908,Box 3831,Garibaldi Highlands,V0N 1T0,Mainland/Southwest,Squamish-Lillooet,Garibaldi Highlands,604,,898-3712,604-898-3712,  Ross Mader  Main Contact              , ,Ross,Mader, ,Yes,604,,898-9312,604-898-9312,,,,6000000,6 to 14,17,321111,"""Sawmills (except Shingle and Shake Mills)""",2512,"""Sawmills and planing mill products industries (except shingle and shakes)""",Experienced,6/19/1981,World Wide,,lumber and sawn timber,wood and building products,QUALITY WRC AND FIR BANDSAWN EXPOSED TIMBERS UP TO 40 LFT.  ALSO LATHE TURNED COLUMNS., ,Mader,Ross, ,Main Contact,,,,,
A J Industries,1/10/2002,659974,625 - 106 Ave,Dawson Creek,V1G 2N1,Northeast,Peace River,Dawson Creek,250,,782-4145,250-782-4145,Ms. Jewel McKinnon  Main Contact   Mr. Gary Aven  Second Contact       ,Ms.,Jewel,McKinnon,General Manager,Yes,250,,782-4125,250-782-4125,,gaven@pris.bc.ca,,3000000,25 to 49,35,321999,"""All Other Miscellaneous Wood Product Manufacturing""",2599,"""Other wood industries n.e.c.""",None,,,United States; World Wide,"stakes - survey, mining; sawmill products, other; lath/lathing products",wood and building products,OUR MISSION IS TO EXCEED OUR CUSTOMERS EXPECTATIONS,Ms.,McKinnon,Jewel,General Manager,Main Contact,Mr.,Aven,Gary,President,Second Contact
A M Abrasive Machining Service Ltd.,3/13/2002,642555,Unit 7 - 12342 82A Avenue,Surrey,V3W 0L6,Mainland/Southwest,Greater Vancouver,Surrey,604,,590-8229,604-590-8229,  Allan Myislawchuk  Main Contact              , ,Allan,Myislawchuk, ,Yes,604,,590-8229,604-590-8229,,,,0,1 to 5,1,332710,"""Machine Shops""",3081,"""Machine shop industry""",Unknown,,,,"grinding, precision",machinery and steel fabrication,"SURFACE, INTERNAL AND CYLINDRICAL GRINDING.", ,Myislawchuk,Allan, ,Main Contact,,,,,
